time (ms),Δθ (π),σ_θ (π)
139.257,-0.959,2.461e-03
139.457,-0.969,2.441e-03
139.657,-0.979,2.454e-03
139.857,-0.989,2.454e-03
140.057,-0.999,2.441e-03
140.257,-1.009,2.461e-03
140.456,-1.019,2.442e-03
140.656,-1.029,2.452e-03
140.856,-1.039,2.456e-03
141.056,-1.049,2.440e-03
141.256,-1.059,2.461e-03
141.456,-1.069,2.444e-03
141.656,-1.079,2.450e-03
141.856,-1.089,2.457e-03
142.055,-1.099,2.439e-03
142.255,-1.109,2.460e-03
142.455,-1.119,2.445e-03
142.655,-1.129,2.448e-03
142.855,-1.139,2.458e-03
143.055,-1.149,2.439e-03
143.255,-1.159,2.460e-03
143.454,-1.169,2.447e-03
143.654,-1.179,2.447e-03
143.854,-1.189,2.460e-03
144.054,-1.199,2.439e-03
144.254,-1.209,2.459e-03
144.454,-1.219,2.448e-03
144.654,-1.229,2.445e-03
144.854,-1.239,2.460e-03
145.053,-1.249,2.439e-03
145.253,-1.259,2.457e-03
145.453,-1.269,2.450e-03
145.653,-1.279,2.444e-03
145.853,-1.289,2.461e-03
146.053,-1.299,2.440e-03
146.253,-1.309,2.456e-03
146.452,-1.319,2.452e-03
146.652,-1.329,2.442e-03
146.852,-1.339,2.461e-03
147.052,-1.349,2.441e-03
147.252,-1.359,2.454e-03
147.452,-1.369,2.453e-03
147.652,-1.379,2.441e-03
147.852,-1.389,2.461e-03
148.051,-1.399,2.442e-03
148.251,-1.409,2.453e-03
148.451,-1.419,2.455e-03
148.651,-1.429,2.440e-03
148.851,-1.439,2.461e-03
149.051,-1.449,2.443e-03
149.251,-1.459,2.451e-03
149.450,-1.469,2.456e-03
149.650,-1.479,2.440e-03
149.850,-1.489,2.461e-03
150.050,-1.499,2.444e-03
150.250,-1.509,2.449e-03
150.450,-1.519,2.458e-03
150.650,-1.529,2.439e-03
150.850,-1.539,2.460e-03
151.049,-1.549,2.446e-03
151.249,-1.559,2.448e-03
151.449,-1.569,2.459e-03
151.649,-1.579,2.439e-03
151.849,-1.589,2.459e-03
152.049,-1.599,2.447e-03
152.249,-1.609,2.446e-03
152.448,-1.619,2.460e-03
152.648,-1.629,2.439e-03
152.848,-1.639,2.458e-03
153.048,-1.649,2.449e-03
153.248,-1.659,2.445e-03
153.448,-1.669,2.461e-03
153.648,-1.679,2.440e-03
153.848,-1.689,2.457e-03
154.047,-1.699,2.451e-03
154.247,-1.709,2.443e-03
154.447,-1.719,2.461e-03
154.647,-1.729,2.440e-03
154.847,-1.739,2.455e-03
155.047,-1.749,2.452e-03
155.247,-1.759,2.442e-03
155.447,-1.769,2.461e-03
155.646,-1.779,2.441e-03
155.846,-1.789,2.454e-03
156.046,-1.799,2.454e-03
156.246,-1.809,2.441e-03
156.446,-1.819,2.461e-03
156.646,-1.829,2.442e-03
156.846,-1.839,2.452e-03
157.045,-1.849,2.456e-03
157.245,-1.859,2.440e-03
157.445,-1.869,2.461e-03
157.645,-1.879,2.443e-03
157.845,-1.889,2.450e-03
158.045,-1.899,2.457e-03
158.245,-1.909,2.440e-03
158.445,-1.919,2.460e-03
158.644,-1.929,2.445e-03
158.844,-1.939,2.449e-03
159.044,-1.949,2.458e-03
159.244,-1.959,2.439e-03
159.444,-1.968,2.460e-03
159.644,-1.979,2.446e-03
159.844,-1.989,2.447e-03
160.043,-1.998,2.459e-03
160.243,-0.008,2.439e-03
160.443,-0.019,2.459e-03
160.643,-0.028,2.448e-03
160.843,-0.038,2.445e-03
161.043,-0.049,2.460e-03
161.243,-0.058,2.439e-03
161.443,-0.068,2.457e-03
161.642,-0.078,2.450e-03
161.842,-0.088,2.444e-03
162.042,-0.098,2.461e-03
162.242,-0.108,2.440e-03
162.442,-0.118,2.456e-03
162.642,-0.128,2.451e-03
162.842,-0.138,2.443e-03
163.041,-0.148,2.461e-03
163.241,-0.158,2.441e-03
163.441,-0.168,2.455e-03
163.641,-0.178,2.453e-03
163.841,-0.188,2.441e-03
164.041,-0.198,2.461e-03
164.241,-0.208,2.442e-03
164.441,-0.218,2.453e-03
164.640,-0.228,2.455e-03
164.840,-0.238,2.441e-03
165.040,-0.248,2.461e-03
165.240,-0.258,2.443e-03
165.440,-0.268,2.451e-03
165.640,-0.278,2.456e-03
165.840,-0.288,2.440e-03
166.039,-0.298,2.461e-03
166.239,-0.308,2.444e-03
166.439,-0.318,2.450e-03
166.639,-0.328,2.458e-03
166.839,-0.338,2.439e-03
167.039,-0.348,2.460e-03
167.239,-0.358,2.445e-03
167.439,-0.368,2.448e-03
167.638,-0.378,2.459e-03
167.838,-0.388,2.439e-03
168.038,-0.398,2.459e-03
168.238,-0.408,2.447e-03
168.438,-0.418,2.446e-03
168.638,-0.428,2.460e-03
168.838,-0.438,2.439e-03
169.037,-0.448,2.458e-03
169.237,-0.458,2.449e-03
169.437,-0.468,2.445e-03
169.637,-0.478,2.461e-03
169.837,-0.488,2.440e-03
170.037,-0.498,2.457e-03
170.237,-0.508,2.450e-03
170.437,-0.518,2.443e-03
170.636,-0.528,2.461e-03
170.836,-0.538,2.440e-03
171.036,-0.548,2.455e-03
