time (ms),Δθ (π),σ_θ (π)
161.845,-0.090,4.017e-03
162.045,-0.098,4.169e-03
162.245,-0.107,3.994e-03
162.444,-0.120,4.123e-03
162.644,-0.129,4.097e-03
162.844,-0.137,4.013e-03
163.044,-0.149,4.175e-03
163.244,-0.160,4.004e-03
163.444,-0.167,4.116e-03
163.644,-0.178,4.113e-03
163.844,-0.190,4.010e-03
164.043,-0.197,4.179e-03
164.243,-0.207,4.016e-03
164.443,-0.220,4.109e-03
164.643,-0.229,4.128e-03
164.843,-0.237,4.008e-03
165.043,-0.249,4.182e-03
165.243,-0.260,4.028e-03
165.442,-0.267,4.102e-03
165.642,-0.278,4.142e-03
165.842,-0.290,4.008e-03
166.042,-0.297,4.183e-03
166.242,-0.307,4.041e-03
166.442,-0.320,4.094e-03
166.642,-0.328,4.156e-03
166.842,-0.337,4.008e-03
167.041,-0.350,4.183e-03
167.241,-0.359,4.056e-03
167.441,-0.366,4.087e-03
167.641,-0.379,4.169e-03
167.841,-0.390,4.010e-03
168.041,-0.397,4.182e-03
168.241,-0.408,4.070e-03
168.441,-0.420,4.079e-03
168.640,-0.428,4.180e-03
168.840,-0.437,4.013e-03
169.040,-0.450,4.179e-03
169.240,-0.459,4.086e-03
169.440,-0.466,4.072e-03
169.640,-0.479,4.191e-03
169.840,-0.490,4.017e-03
170.039,-0.497,4.175e-03
170.239,-0.508,4.101e-03
170.439,-0.520,4.064e-03
170.639,-0.527,4.200e-03
170.839,-0.537,4.023e-03
171.039,-0.550,4.170e-03
171.239,-0.558,4.117e-03
